slug,journal,title,year,doi,pdf_path,pdf_url,status,cited,src
mdpi-machines,Machines,mdpi-machines__2020__local_motion_planner_for_autonomous_navigation_in_viney__cb6ebfd530,,,papers/literature/target_journal_related/fulltext_by_journal/mdpi-machines/mdpi-machines__2020__local_motion_planner_for_autonomous_navigation_in_viney__cb6ebfd530.pdf,,cached,,cache
mdpi-machines,Machines,mdpi-machines__2022__multi_objective_optimization_and_optimal_airfoil_blade___704090e20e,,,papers/literature/target_journal_related/fulltext_by_journal/mdpi-machines/mdpi-machines__2022__multi_objective_optimization_and_optimal_airfoil_blade___704090e20e.pdf,,cached,,cache
mdpi-machines,Machines,mdpi-machines__2023__bearing_current_and_shaft_voltage_in_electrical_machine__e85309e34e,,,papers/literature/target_journal_related/fulltext_by_journal/mdpi-machines/mdpi-machines__2023__bearing_current_and_shaft_voltage_in_electrical_machine__e85309e34e.pdf,,cached,,cache
mdpi-machines,Machines,mdpi-machines__2023__intelligent_pid_with_pd_feedforward_trajectory_tracking__eec8ede562,,,papers/literature/target_journal_related/fulltext_by_journal/mdpi-machines/mdpi-machines__2023__intelligent_pid_with_pd_feedforward_trajectory_tracking__eec8ede562.pdf,,cached,,cache
mdpi-machines,Machines,Local Motion Planner for Autonomous Navigation in Vineyards with a RGB-D Camera-Based Algorithm and Deep Learning Synergy,2020,10.3390/machines8020027,papers/literature/target_journal_related/fulltext_by_journal/mdpi-machines/mdpi-machines__2020__local_motion_planner_for_autonomous_navigation_in_viney__cb6ebfd530.pdf,https://arxiv.org/pdf/2005.12815.pdf,downloaded,76,openalex-arxiv
mdpi-machines,Machines,Fault Detection and Diagnosis with Imbalanced and Noisy Data: A Hybrid Framework for Rotating Machinery,2022,10.3390/machines10040237,papers/literature/target_journal_related/fulltext_by_journal/mdpi-machines/mdpi-machines__2022__fault_detection_and_diagnosis_with_imbalanced_and_noisy__de312cf20a.pdf,https://arxiv.org/pdf/2202.04212.pdf,downloaded,42,openalex-arxiv
mdpi-machines,Machines,Designing an Experimental Platform to Assess Ergonomic Factors and Distraction Index in Law Enforcement Vehicles during Mission-Based Routes.,2024,10.3390/machines12080502,papers/literature/target_journal_related/fulltext_by_journal/mdpi-machines/mdpi-machines__2024__designing_an_experimental_platform_to_assess_ergonomic___9ca26feeea.pdf,https://europepmc.org/articles/PMC11403351?pdf=render,downloaded,,europepmc
mdpi-information,Information,Albumentations: Fast and Flexible Image Augmentations,2020,10.3390/info11020125,papers/literature/target_journal_related/fulltext_by_journal/mdpi-information/mdpi-information__2020__albumentations_fast_and_flexible_image_augmentations__44a4a12154.pdf,https://arxiv.org/pdf/1809.06839.pdf,downloaded,2199,openalex-arxiv
mdpi-information,Information,Text Classification Algorithms: A Survey,2019,10.3390/info10040150,papers/literature/target_journal_related/fulltext_by_journal/mdpi-information/mdpi-information__2019__text_classification_algorithms_a_survey__8f5c297b70.pdf,https://arxiv.org/pdf/1904.08067.pdf,downloaded,1289,openalex-arxiv
mdpi-information,Information,Fastai: A Layered API for Deep Learning,2020,10.3390/info11020108,papers/literature/target_journal_related/fulltext_by_journal/mdpi-information/mdpi-information__2020__fastai_a_layered_api_for_deep_learning__79aa813b82.pdf,https://arxiv.org/pdf/2002.04688.pdf,downloaded,1016,openalex-arxiv
mdpi-information,Information,A Literature Survey of Recent Advances in Chatbots,2022,10.3390/info13010041,papers/literature/target_journal_related/fulltext_by_journal/mdpi-information/mdpi-information__2022__a_literature_survey_of_recent_advances_in_chatbots__2dc1c203db.pdf,https://arxiv.org/pdf/2201.06657.pdf,downloaded,433,openalex-arxiv
mdpi-information,Information,COVID-19 Public Sentiment Insights and Machine Learning for Tweets Classification,2020,10.3390/info11060314,papers/literature/target_journal_related/fulltext_by_journal/mdpi-information/mdpi-information__2020__covid_19_public_sentiment_insights_and_machine_learning__f4f05d6b02.pdf,https://arxiv.org/pdf/2005.10898.pdf,downloaded,331,openalex-arxiv
mdpi-information,Information,A Review on Energy Consumption Optimization Techniques in IoT Based Smart Building Environments,2019,10.3390/info10030108,papers/literature/target_journal_related/fulltext_by_journal/mdpi-information/mdpi-information__2019__a_review_on_energy_consumption_optimization_techniques___8b753bec9e.pdf,https://arxiv.org/pdf/1904.09821.pdf,downloaded,138,openalex-arxiv
mdpi-information,Information,SDN-Based Intrusion Detection System for Early Detection and Mitigation of DDoS Attacks,2019,10.3390/info10030106,papers/literature/target_journal_related/fulltext_by_journal/mdpi-information/mdpi-information__2019__sdn_based_intrusion_detection_system_for_early_detectio__2c8518edcb.pdf,https://arxiv.org/pdf/2104.07332.pdf,downloaded,128,openalex-arxiv
mdpi-information,Information,An Ambient Intelligence-Based Human Behavior Monitoring Framework for Ubiquitous Environments,2021,10.3390/info12020081,papers/literature/target_journal_related/fulltext_by_journal/mdpi-information/mdpi-information__2021__an_ambient_intelligence_based_human_behavior_monitoring__2c709d4a5a.pdf,https://arxiv.org/pdf/2106.15609.pdf,downloaded,101,openalex-arxiv
mdpi-information,Information,A Review of Knowledge Graph Completion,2022,10.3390/info13080396,papers/literature/target_journal_related/fulltext_by_journal/mdpi-information/mdpi-information__2022__a_review_of_knowledge_graph_completion__1533612d71.pdf,https://arxiv.org/pdf/2208.11652.pdf,downloaded,91,openalex-arxiv
mdpi-information,Information,AI-Based Detection of Optical Microscopic Images of &lt;i&gt;Pseudomonas aeruginosa&lt;/i&gt; in Planktonic and Biofilm States.,2025,10.3390/info16040309,papers/literature/target_journal_related/fulltext_by_journal/mdpi-information/mdpi-information__2025__ai_based_detection_of_optical_microscopic_images_of_lt___197e48bb19.pdf,https://europepmc.org/articles/PMC12807543?pdf=render,downloaded,2,europepmc
mdpi-symmetry,Symmetry,Stability of Spline-Type Systems in the Abelian Case.,2017,10.3390/sym10010007,papers/literature/target_journal_related/fulltext_by_journal/mdpi-symmetry/mdpi-symmetry__2017__stability_of_spline_type_systems_in_the_abelian_case__a840cc073a.pdf,https://europepmc.org/articles/PMC5790199?pdf=render,downloaded,2,europepmc
mdpi-symmetry,Symmetry,Finite Element Analysis of an Implant-Supported FDP with Different Connector Heights.,2022,10.3390/sym14112334,papers/literature/target_journal_related/fulltext_by_journal/mdpi-symmetry/mdpi-symmetry__2022__finite_element_analysis_of_an_implant_supported_fdp_wit__e9a40b0747.pdf,https://europepmc.org/articles/PMC12327404?pdf=render,downloaded,1,europepmc
mdpi-symmetry,Symmetry,Optimization of SOX2 Expression for Enhanced Glioblastoma Stem Cell Virotherapy.,2024,10.3390/sym16091186,papers/literature/target_journal_related/fulltext_by_journal/mdpi-symmetry/mdpi-symmetry__2024__optimization_of_sox2_expression_for_enhanced_glioblasto__67a124a323.pdf,https://europepmc.org/articles/PMC12061075?pdf=render,downloaded,,europepmc
mdpi-symmetry,Symmetry,Terminating Basic Hypergeometric Representations and Transformations for the Askey-Wilson Polynomials.,2020,10.3390/sym12081290,papers/literature/target_journal_related/fulltext_by_journal/mdpi-symmetry/mdpi-symmetry__2020__terminating_basic_hypergeometric_representations_and_tr__52928fe1dd.pdf,https://europepmc.org/articles/PMC9074770?pdf=render,downloaded,,europepmc
mdpi-remote-sensing,Remote Sensing,High-Throughput Phenotyping of Canopy Cover and Senescence in Maize Field Trials Using Aerial Digital Canopy Imaging.,2018,10.3390/rs10020330,papers/literature/target_journal_related/fulltext_by_journal/mdpi-remote-sensing/mdpi-remote-sensing__2018__high_throughput_phenotyping_of_canopy_cover_and_senesce__8a6cd8eb13.pdf,https://europepmc.org/articles/PMC7745117?pdf=render,downloaded,29,europepmc
mdpi-remote-sensing,Remote Sensing,Atmospheric Correction Inter-comparison eXercise.,2018,10.3390/rs10020352,papers/literature/target_journal_related/fulltext_by_journal/mdpi-remote-sensing/mdpi-remote-sensing__2018__atmospheric_correction_inter_comparison_exercise__8f39b882a0.pdf,https://europepmc.org/articles/PMC7376715?pdf=render,downloaded,28,europepmc
mdpi-remote-sensing,Remote Sensing,"Decision-Tree, Rule-Based, and Random Forest Classification of High-Resolution Multispectral Imagery for Wetland Mapping and Inventory.",2018,10.3390/rs10040580,papers/literature/target_journal_related/fulltext_by_journal/mdpi-remote-sensing/mdpi-remote-sensing__2018__decision_tree_rule_based_and_random_forest_classificati__192d452c40.pdf,https://europepmc.org/articles/PMC6104403?pdf=render,downloaded,26,europepmc
mdpi-remote-sensing,Remote Sensing,A Satellite-Based Spatio-Temporal Machine Learning Model to Reconstruct Daily PM&lt;sub&gt;2.5&lt;/sub&gt; Concentrations across Great Britain.,2020,10.3390/rs12223803,papers/literature/target_journal_related/fulltext_by_journal/mdpi-remote-sensing/mdpi-remote-sensing__2020__a_satellite_based_spatio_temporal_machine_learning_mode__6349434cfa.pdf,https://europepmc.org/articles/PMC7116547?pdf=render,downloaded,25,europepmc
mdpi-remote-sensing,Remote Sensing,A Survey of Active Learning for Quantifying Vegetation Traits from Terrestrial Earth Observation Data.,2021,10.3390/rs13020287,papers/literature/target_journal_related/fulltext_by_journal/mdpi-remote-sensing/mdpi-remote-sensing__2021__a_survey_of_active_learning_for_quantifying_vegetation___d9c0673acf.pdf,https://europepmc.org/articles/PMC7613397?pdf=render,downloaded,19,europepmc
mdpi-remote-sensing,Remote Sensing,Global Sensitivity Analysis of Leaf-Canopy-Atmosphere RTMs: Implications for Biophysical Variables Retrieval from Top-of-Atmosphere Radiance Data.,2019,10.3390/rs11161923,papers/literature/target_journal_related/fulltext_by_journal/mdpi-remote-sensing/mdpi-remote-sensing__2019__global_sensitivity_analysis_of_leaf_canopy_atmosphere_r__9a6851c5e4.pdf,https://europepmc.org/articles/PMC7613351?pdf=render,downloaded,19,europepmc
mdpi-remote-sensing,Remote Sensing,Green LAI Mapping and Cloud Gap-Filling Using Gaussian Process Regression in Google Earth Engine.,2021,10.3390/rs13030403,papers/literature/target_journal_related/fulltext_by_journal/mdpi-remote-sensing/mdpi-remote-sensing__2021__green_lai_mapping_and_cloud_gap_filling_using_gaussian___c654f7abff.pdf,https://europepmc.org/articles/PMC7613383?pdf=render,downloaded,18,europepmc
mdpi-remote-sensing,Remote Sensing,How Universal Is the Relationship between Remotely Sensed Vegetation Indices and Crop Leaf Area Index? A Global Assessment.,2016,10.3390/rs8070597,papers/literature/target_journal_related/fulltext_by_journal/mdpi-remote-sensing/mdpi-remote-sensing__2016__how_universal_is_the_relationship_between_remotely_sens__f8043671fc.pdf,https://europepmc.org/articles/PMC6038712?pdf=render,downloaded,18,europepmc
mdpi-remote-sensing,Remote Sensing,"Assessment of Workflow Feature Selection on Forest LAI Prediction with Sentinel-2A MSI, Landsat 7 ETM+ and Landsat 8 OLI.",2020,10.3390/rs12060915,papers/literature/target_journal_related/fulltext_by_journal/mdpi-remote-sensing/mdpi-remote-sensing__2020__assessment_of_workflow_feature_selection_on_forest_lai___16b0a8ca61.pdf,https://europepmc.org/articles/PMC7613362?pdf=render,downloaded,17,europepmc
mdpi-remote-sensing,Remote Sensing,Application of the Random Forest Classifier to Map Irrigated Areas Using Google Earth Engine.,2021,10.3390/rs13050876,papers/literature/target_journal_related/fulltext_by_journal/mdpi-remote-sensing/mdpi-remote-sensing__2021__application_of_the_random_forest_classifier_to_map_irri__56a32b3894.pdf,https://europepmc.org/articles/PMC7616265?pdf=render,downloaded,16,europepmc
mdpi-algorithms,Algorithms,mdpi-algorithms__2018__learning_heterogeneous_knowledge_base_embeddings_for_explain__6de7e191bf,,,papers/literature/target_journal_related/fulltext_by_journal/mdpi-algorithms/mdpi-algorithms__2018__learning_heterogeneous_knowledge_base_embeddings_for_explain__6de7e191bf.pdf,,cached,,cache
mdpi-algorithms,Algorithms,mdpi-algorithms__2019__from_the_quantum_approximate_optimization_algorithm_to_a_qua__8498a8f0f9,,,papers/literature/target_journal_related/fulltext_by_journal/mdpi-algorithms/mdpi-algorithms__2019__from_the_quantum_approximate_optimization_algorithm_to_a_qua__8498a8f0f9.pdf,,cached,,cache
mdpi-algorithms,Algorithms,mdpi-algorithms__2024__object_detection_in_autonomous_vehicles_under_adverse_weathe__ef0d95c419,,,papers/literature/target_journal_related/fulltext_by_journal/mdpi-algorithms/mdpi-algorithms__2024__object_detection_in_autonomous_vehicles_under_adverse_weathe__ef0d95c419.pdf,,cached,,cache
mdpi-algorithms,Algorithms,Inferring the Timing of Antiretroviral Therapy by Zero-Inflated Random Change Point Models Using Longitudinal Data Subject to Left-Censoring.,2025,10.3390/a18060346,papers/literature/target_journal_related/fulltext_by_journal/mdpi-algorithms/mdpi-algorithms__2025__inferring_the_timing_of_antiretroviral_therapy_by_zero___66c533b982.pdf,https://europepmc.org/articles/PMC13021155?pdf=render,downloaded,,europepmc
mdpi-algorithms,Algorithms,Synthesizing Explainability Across Multiple ML Models for Structured Data.,2025,10.3390/a18060368,papers/literature/target_journal_related/fulltext_by_journal/mdpi-algorithms/mdpi-algorithms__2025__synthesizing_explainability_across_multiple_ml_models_f__fcd40d5fec.pdf,https://europepmc.org/articles/PMC12885564?pdf=render,downloaded,,europepmc
mdpi-algorithms,Algorithms,Algorithmic Design of Geometric Data for Molecular Potential Energy Surfaces.,2023,10.3390/a16010006,papers/literature/target_journal_related/fulltext_by_journal/mdpi-algorithms/mdpi-algorithms__2023__algorithmic_design_of_geometric_data_for_molecular_pote__c17b1ebbc1.pdf,https://europepmc.org/articles/PMC12382435?pdf=render,downloaded,,europepmc
mdpi-algorithms,Algorithms,Applying Simheuristics to Minimize Overall Costs of an MRP Planned Production System.,2022,10.3390/a15020040,papers/literature/target_journal_related/fulltext_by_journal/mdpi-algorithms/mdpi-algorithms__2022__applying_simheuristics_to_minimize_overall_costs_of_an___8017bcb259.pdf,https://europepmc.org/articles/PMC8979316?pdf=render,downloaded,,europepmc
mdpi-future-internet,Future Internet,Human-AI Collaboration for Remote Sighted Assistance: Perspectives from the LLM Era.,2024,10.3390/fi16070254,papers/literature/target_journal_related/fulltext_by_journal/mdpi-future-internet/mdpi-future-internet__2024__human_ai_collaboration_for_remote_sighted_assistance_pe__8bd2c05fe2.pdf,https://europepmc.org/articles/PMC11884418?pdf=render,downloaded,1,europepmc
mdpi-future-internet,Future Internet,Dynamic Cost-Aware Routing of Web Requests.,2018,10.3390/fi10070057,papers/literature/target_journal_related/fulltext_by_journal/mdpi-future-internet/mdpi-future-internet__2018__dynamic_cost_aware_routing_of_web_requests__f1c5ebe4a3.pdf,https://europepmc.org/articles/PMC6839704?pdf=render,downloaded,1,europepmc
mdpi-future-internet,Future Internet,Benchmarking Large Language Models from Open and Closed Source Models to Apply Data Annotation for Free-Text Criteria in Healthcare.,2025,10.3390/fi17040138,papers/literature/target_journal_related/fulltext_by_journal/mdpi-future-internet/mdpi-future-internet__2025__benchmarking_large_language_models_from_open_and_closed__ad6b0a74db.pdf,https://europepmc.org/articles/PMC13186227?pdf=render,downloaded,,europepmc
mdpi-atmosphere,Atmosphere,Quantifying the Public Health Benefits of Reducing Air Pollution: Critically Assessing the Features and Capabilities of WHO's AirQ+ and U.S. EPA's Environmental Benefits Mapping and Analysis Program - Community Edition (BenMAP - CE).,2020,10.3390/atmos11050516,papers/literature/target_journal_related/fulltext_by_journal/mdpi-atmosphere/mdpi-atmosphere__2020__quantifying_the_public_health_benefits_of_reducing_air___2b4d60e038.pdf,https://europepmc.org/articles/PMC7425641?pdf=render,downloaded,31,europepmc
mdpi-atmosphere,Atmosphere,Interpreting Mobile and Handheld Air Sensor Readings in Relation to Air Quality Standards and Health Effect Reference Values: Tackling the Challenges.,2017,10.3390/atmos8100182,papers/literature/target_journal_related/fulltext_by_journal/mdpi-atmosphere/mdpi-atmosphere__2017__interpreting_mobile_and_handheld_air_sensor_readings_in__ebbebbb0a5.pdf,https://europepmc.org/articles/PMC5662140?pdf=render,downloaded,18,europepmc
mdpi-atmosphere,Atmosphere,"The Fire and Smoke Model Evaluation Experiment-A Plan for Integrated, Large Fire-Atmosphere Field Campaigns.",2019,10.3390/atmos10020066,papers/literature/target_journal_related/fulltext_by_journal/mdpi-atmosphere/mdpi-atmosphere__2019__the_fire_and_smoke_model_evaluation_experiment_a_plan_f__ffc4841786.pdf,https://europepmc.org/articles/PMC7376818?pdf=render,downloaded,17,europepmc
